Content.Data;Content.Grupo;Content.Subgrupo;Content.Natureza;Content.FORNECEDOR;Content.Entrada (R$);Content.Saída (R$);Content.Histórico;Name;;;;;
28/06/2019;BARILOCHE;CUSTO DO ATIVO;CUSTO DA ÁREA;MARCO BRASAUSKA;0,00;-12800,00;retirada em Espécie;FluxoAgata;;;;;
28/06/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-1600,00;Referente a periodos anteriores ao contrato desde a abertura da conta;FluxoAgata;;;;;
01/07/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-465,00;TARIFA BANCARIA I27:I31;FluxoAgata;;;;;
01/07/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-375,00;saldo de honorários de abertura da Lifecon;FluxoAgata;;;;;
02/07/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;BRADESCO;0,00;-4,55;retirada com recibo avulso;FluxoAgata;;;;;
11/07/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-900,00;Honorário mai a jul/2019 lifecon;FluxoAgata;;;;;
16/07/2019;ÁGATA;FINANCEIRO;RECEITA APLICAÇÕES FINANCEIRAS;BRADESCO;1395,00;0,00;devolução de tarifas;FluxoAgata;;;;;
24/07/2019;NORTHSIDE;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;CORPO DE BOMBEIROS;0,00;-79,55;Taxa bombeiros Lifecon;FluxoAgata;;;;;
24/07/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;CORPO DE BOMBEIROS;0,00;-82,67;Taxa bombeiros Agata;FluxoAgata;;;;;
30/07/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Rayacon  07/2019 Agata;FluxoAgata;;;;;
01/08/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-465,00;TARIFA BANCARIA ???;FluxoAgata;;;;;
05/08/2019;NORTHSIDE;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;PREFEITURA MUNICIPAL DE PINHAIS;0,00;-134,50;Taxa p/ emissão de alvará de empresa;FluxoAgata;;;;;
23/08/2019;NORTHSIDE;CUSTO DO ATIVO;REGISTRO DE IMÓVEIS;JUNTA COMERCIAL DO PARANÁ;0,00;-30,65;p/ registro de imóveis Certidão simplificada;FluxoAgata;;;;;
26/08/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Rayacon Agata;FluxoAgata;;;;;
27/08/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;PREFEITURA MUNICIPAL DE PINHAIS;0,00;-134,50;Taxa p/ emissão de alvará de empresa;FluxoAgata;;;;;
02/09/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-51,85;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
06/09/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,15;TARIFA DOC/TED;FluxoAgata;;;;;
06/09/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário jul/2019 lifecon;FluxoAgata;;;;;
20/09/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;PREFEITURA MUNICIPAL DE NOVO HAMBURGO;0,00;-947,47;Taxa para emissão de diretrizes urbanisticas ;FluxoAgata;;;;;
25/09/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário ago/2019 Agata;FluxoAgata;;;;;
01/10/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-51,85;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
01/10/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,15;TARIFA DOC/TED;FluxoAgata;;;;;
01/10/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário ago/2019 lifecon;FluxoAgata;;;;;
15/10/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,15;tarifa saque;FluxoAgata;;;;;
15/10/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-3652,80;Viabilidade de abastecimento emitidas da COMUSA e da RGE + LP (meio ambiente) + implantação urbanística detalhada - protocolo na PMNH;FluxoAgata;;;;;
15/10/2019;BARILOCHE;CUSTO DO ATIVO;CUSTO DA ÁREA;MARCO BRASAUSKA;0,00;-10800,00;Cheque;FluxoAgata;;;;;
25/10/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,15;TARIFA DOC/TED;FluxoAgata;;;;;
25/10/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário set/2019 lifecon;FluxoAgata;;;;;
25/10/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário set/2019 Agata;FluxoAgata;;;;;
25/10/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS AMBIENTAIS;ZNO - ZILDO NESTOR DE OLIVEIRA - ME;0,00;-3150,00;Aprovação ambiental - emissão de LAP;FluxoAgata;;;;;
01/11/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-51,85;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
01/11/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,15;TARIFA DOC/TED;FluxoAgata;;;;;
01/11/2019;NORTHSIDE;CUSTO DO ATIVO;PLACAS DE OBRAS, SINALIZAÇÃO;TR3 - COMUNICAÇÃO VISUAL;0,00;-490,00;Placa metaliza com base em pinus - inf. Sobre LP ;FluxoAgata;;;;;
14/11/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,15;TARIFA DOC/TED;FluxoAgata;;;;;
14/11/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-1035,80;LIBERAÇÃO IPHAE/COMUSA;FluxoAgata;;;;;
25/11/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-600,00;Honorário out e nov/2019 lifecon;FluxoAgata;;;;;
25/11/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-800,00;Honorário out e nov/2019 Agata;FluxoAgata;;;;;
02/12/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-51,85;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
26/12/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário dez/2019 lifecon;FluxoAgata;;;;;
26/12/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário dez/2019 Agata;FluxoAgata;;;;;
02/01/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-51,85;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
03/02/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
03/02/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
07/02/2020;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;CAU RS;0,00;-97,95;RRT Projeto EVU;FluxoAgata;;;;;
26/02/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
26/02/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
02/03/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
02/03/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
12/03/2020;NORTHSIDE;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;JUNTA COMERCIAL DO PARANÁ;0,00;-30,65;P/ Registro da integralização na Sociedade;FluxoAgata;;;;;
25/03/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
25/03/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
03/04/2020;NORTHSIDE;CUSTO DO ATIVO;DESPESAS LEGAIS, CARTORIAIS E FUNDIÁRIAS;CARTÓRIO DE REGISTRO DE NOVO HAMBURGO;0,00;-4200,00;Averbação Integralização área na Sociedade;FluxoAgata;;;;;
04/05/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
04/05/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
04/05/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
06/05/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;TARIFA DOC/TED;FluxoAgata;;;;;
06/05/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,45;TARIFA DOC/TED;FluxoAgata;;;;;
06/05/2020;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-4442,55;Estudo preliminar da edificação padrão, edificações condominiais e demais espaços  - definição interna;FluxoAgata;;;;;
25/05/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
25/05/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
01/06/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
10/06/2020;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-8602,77;IPTU;FluxoAgata;;;;;
26/06/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
26/06/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
01/07/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
02/07/2020;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-2120,95;IPTU;FluxoAgata;;;;;
08/07/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-10,45;TARIFA DOC/TED;FluxoAgata;;;;;
08/07/2020;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-4000,00;Parcela ;FluxoAgata;;;;;
17/07/2020;ÁGATA;FINANCEIRO;APORTE DE CAPITAL SCP;ABACO INCORPORACOES LTDA;20000,00;0,00;Aporte;FluxoAgata;;;;;
21/07/2020;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-2101,13;IPTU;FluxoAgata;;;;;
27/07/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
27/07/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
03/08/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
27/08/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
27/08/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
01/09/2020;NORTHSIDE;CUSTO DO ATIVO;PROJETOS COMPLEMENTARES;ANDERSON L. DE SOUZA;0,00;-2000,00;parcela projetos complementares;FluxoAgata;;;;;
01/09/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
11/09/2020;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-2120,95;IPTU;FluxoAgata;;;;;
01/10/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
02/10/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
02/10/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
15/10/2020;NORTHSIDE;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;PREFEITURA MUNICIPAL DE PINHAIS;0,00;-138,90;Taxa p/ emissão de alvará Lifecon;FluxoAgata;;;;;
15/10/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;PREFEITURA MUNICIPAL DE PINHAIS;0,00;-138,90;Taxa p/ emissão de alvará Ágata;FluxoAgata;;;;;
20/10/2020;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-1982,20;IPTU;FluxoAgata;;;;;
23/10/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
23/10/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
03/11/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-52,20;TARIFA BANCARIA CESTA MOBILE;FluxoAgata;;;;;
10/11/2020;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-4241,92;IPTU;FluxoAgata;;;;;
21/11/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
23/11/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-700,00;Honorário  Agata;FluxoAgata;;;;;
27/11/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
27/11/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
27/11/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário  lifecon;FluxoAgata;;;;;
27/11/2020;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário  Agata;FluxoAgata;;;;;
01/12/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
10/12/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
10/12/2020;NORTHSIDE;CUSTO DO ATIVO;CUSTO DA ÁREA (ROÇADA, CERCAMENTO E OUTROS);ROGÉRIO MULLER;0,00;-2900,00;Limpeza de terreno;FluxoAgata;;;;;
23/12/2020;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
23/12/2020;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-700,00;Honorário  lifecon;FluxoAgata;;;;;
04/01/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
22/01/2021;ÁGATA;FINANCEIRO;APORTE DE CAPITAL SCP;ABACO INCORPORACOES LTDA;20000,00;0,00;aporte;FluxoAgata;;;;;
25/01/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
25/01/2021;NORTHSIDE;CUSTO DO ATIVO;IPTU / ITR;MUNICIPIO DE NOVO HAMBURGO;0,00;-17302,37;IPTU;FluxoAgata;;;;;
25/01/2021;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-700,00;Honorário  Agata;FluxoAgata;;;;;
01/02/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
12/02/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
12/02/2021;NORTHSIDE;CUSTO DO ATIVO;PROJETOS COMPLEMENTARES;PERTHO GESTAO IMOBILIARIA LTDA;0,00;-2200,00;Assessoria em compatibização de projetos;FluxoAgata;;;;;
01/03/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
04/03/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
04/03/2021;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-700,00;Honorário  lifecon;FluxoAgata;;;;;
17/03/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
17/03/2021;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-3000,00;Aprovação de projetos;FluxoAgata;;;;;
01/04/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
26/04/2021;ÁGATA;FINANCEIRO;APORTE DE CAPITAL SCP;ABACO INCORPORACOES LTDA;20000,00;0,00;aporte;FluxoAgata;;;;;
03/05/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
05/05/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
05/05/2021;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-900,00;Honorário  Agata;FluxoAgata;;;;;
12/05/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
12/05/2021;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-200,00;Honorário  lifecon;FluxoAgata;;;;;
18/05/2021;BARILOCHE;CUSTO DO ATIVO;CUSTO DA ÁREA;MARCO BRASAUSKA;0,00;-14400,00;cheque;FluxoAgata;;;;;
24/05/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-11,05;Tarifa;FluxoAgata;;;;;
24/05/2021;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-700,00;Honorário  lifecon;FluxoAgata;;;;;
27/05/2021;ÁGATA;FINANCEIRO;APORTE DE CAPITAL SCP;ABACO INCORPORACOES LTDA;14400,00;0,00;aporte;FluxoAgata;;;;;
01/06/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-55,10;Tarifa;FluxoAgata;;;;;
02/06/2021;BARILOCHE;CUSTO DO ATIVO;LIMPEZA DE ÁREA E TERRAPLANAGEM INICIAL;REGINALDO;0,00;-800,00;Limpeza de terreno;FluxoAgata;;;;;
07/06/2021;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-9,00;Tarifa;FluxoAgata;;;;;
08/06/2021;BARILOCHE;CUSTO DO ATIVO;CUSTO DA ÁREA;MÁRCIO;0,00;-1000,00;execução de arruamento;FluxoAgata;;;;;
